FECHA,Tipo de Cambio,Superior,Regular,Diesel,Bunker,Glp Cilindro 25Lbs.,
1-ene-21,7.79382,21.91,21.11,17.61,13.4,99,3.96
2-ene-21,7.79382,21.91,21.11,17.61,13.4,99,3.96
3-ene-21,7.79382,21.91,21.11,17.61,13.4,99,3.96
4-ene-21,7.79417,21.91,21.11,17.61,13.45,99,3.96
5-ene-21,7.79369,21.91,21.11,17.61,13.45,99,3.96
6-ene-21,7.79735,21.91,21.11,17.61,13.45,99,3.96
7-ene-21,7.79493,21.91,21.11,17.61,13.45,99,3.96
8-ene-21,7.80089,21.91,21.11,17.61,13.45,99,3.96
9-ene-21,7.80089,21.91,21.11,17.61,13.45,99,3.96
10-ene-21,7.80089,21.91,21.11,17.61,13.45,99,3.96
11-ene-21,7.79581,22.39,21.59,17.69,13.82,99,3.96
12-ene-21,7.7962,22.39,21.59,17.69,13.82,99,3.96
13-ene-21,7.79686,22.39,21.59,17.69,13.82,101.67,4.07
14-ene-21,7.79124,22.39,21.59,17.69,13.82,101.67,4.07
15-ene-21,7.78903,22.39,21.59,17.69,13.82,101.67,4.07
16-ene-21,7.78903,22.39,21.59,17.69,13.82,107,4.28
17-ene-21,7.78903,22.39,21.59,17.69,13.82,107,4.28
18-ene-21,7.7856,23.21,22.41,18.3,14.05,107,4.28
19-ene-21,7.79345,23.21,22.41,18.3,14.05,107,4.28
20-ene-21,7.78725,23.21,22.41,18.3,14.05,110,4.4
21-ene-21,7.78209,23.21,22.41,18.3,14.05,110,4.4
22-ene-21,7.78162,23.21,22.41,18.3,14.05,110,4.4
23-ene-21,7.78162,23.21,22.41,18.3,14.05,116,4.64
24-ene-21,7.78162,23.21,22.41,18.3,14.05,116,4.64
25-ene-21,7.78124,23.44,22.64,18.47,14.05,116,4.64
26-ene-21,7.77958,23.44,22.64,18.47,14.05,116,4.64
27-ene-21,7.78483,23.44,22.64,18.47,14.05,116,4.64
28-ene-21,7.78262,23.44,22.64,18.47,14.05,116,4.64
29-ene-21,7.78638,23.44,22.64,18.47,14.05,116,4.64
30-ene-21,7.78638,23.44,22.64,18.47,14.05,116,4.64
31-ene-21,7.78638,23.44,22.64,18.47,14.05,116,4.64
1-feb-21,7.78003,23.57,22.77,18.57,13.95,116,4.64
2-feb-21,7.77836,23.57,22.77,18.57,13.95,116,4.64
